parameter,value,unit
product name,LTO Toshiba 23Ah,
technology,LTO,
rated capacity,23,Ah
nominal voltage,2.3,V
weight,0.55,kg
cost,9.7,euro
maximum continous discharge current,92,A
maximum continuous charge current,92,A
OCV,"[2.067, 2.113, 2.151, 2.183, 2.217, 2.265, 2.326, 2.361, 2.427, 2.516, 2.653]",V
OCV_SOC,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]",
SOH,"[1, 0.973, 0.954, 0.937, 0.923, 0.908, 0.904, 0.891, 0.86875, 0.85875, 0.83875, 0.82375, 0.80875, 0.79375, 0.77875, 0.76375]",
SOH_N,"[0, 1000, 2000, 3000, 4000, 5000, 5300, 6000, 7225, 8100, 8975, 9850, 10725, 11600, 12475, 13350]",
